a lot	a lot: adv. muito
downside	<i> n </i>aspecto adverso ou negativo.
downtown	<i> n Amer</i> centro comercial da cidade, parte central da cidade. • <i>adj, adv</i><b> 1</b> <i>Amer</i> em direção do, perto do, no centro comercial da cidade.<b> 2</b> em direção da, na parte baixa da cidade.
downtrend	<i>n</i> declínio, tendência para baixo.
downward	<i> adj</i><b> 1</b> declinante, inclinado, ladeirento, que tem declividade.<b> 2</b> em direção inferior, que vai de superior a inferior, decrescente.<b> 3</b> descendente de anterior a posterior, de época anterior.<b> 4</b> que se move para um lugar ou condição inferior. •<i> adv</i> (também <b>downwards, downwardly</b>)<b> 1</b> para baixo, abaixo, em declive.<b> 2</b> rio abaixo, a jusante.<b> 3</b> de superior a inferior, de anterior a posterior, sucessivamente (de pai para filho, de filho para neto, etc.)
dowser	<i> n </i>rabdomante, indivíduo que usa varinha rabdomântica, hidróscopo.
dozen	<i> n </i><b>1</b> dúzia (não tem<i> plural</i> tomado quantitativamente).<b> 2</b> (<i>pl</i> <b>dozens</b>) número inde­ter­mi­nado. <b>a baker’s dozen</b> dúzia de frade, treze em lugar de doze.<b> a</b> <b>round</b> <b>dozen </b>uma dúzia completa. <b>by the dozen</b> às dúzias.<b> devil’s</b> <b>dozen</b> = <b>a baker’s dozen.</b> <b>dozens of times</b> inúmeras vezes. <b>enough for a</b> <b>dozen</b> demasiado, sobrado. <b>for the dozenth time</b> pela centésima vez. <b>half a dozen </b>meia dúzia. <b>in dozens </b>=<b> by the dozen, per</b> <b>dozen </b>por dúzia. <b>printer’s dozen</b> = <b>a</b> <b>baker’s</b> <b>dozen. to talk nineteen</b> <b>to the dozen</b> falar pelos cotovelos.
dozily	<b> </b><i>adv</i> sonolentamente, com sonolência.
doziness	<i> n </i>sonolência, modorra, torpor difícil de vencer.
dozy	<i> adj</i> <b>1 </b>sonolento, amodorrado, entorpecido, que não tem atividade ou energia. <b>2 </b><i>Brit coll </i>estúpido, de entendimento retardado.
draft	<i> n </i><b>1</b> desenho, esboço, borrão, rascunho, minuta.<b> 2</b> plano, esquema, projeto.<b> 3</b> saque, ordem de pagamento, título, letra de câmbio.<b> 4</b> <i>Mil e Naut</i> destacamento, contingente, sorteio militar ou naval.<b> 5</b> pessoas a quem compete a obrigação de cumprir um certo dever<i>.</i><b> 6</b> <i>Tech</i> tiragem de ar. <b>7 </b>trago ou gole de bebida. <b>8 </b>corrente de ar. <b>9 </b>arrastão. <b>10 </b><i>Comp<b> </b></i>modo rascunho (impressão). <b>11 </b>inalação de ar ou fumaça, tragada. <b>12 </b><i>sl</i> influência, <i>Braz </i>pistolão. • <i>vt</i><b> 1</b> traçar, delinear, bosquejar, esboçar, rascunhar.<b> 2</b> minutar, fazer ou ditar a minuta de, redigir.<b> 3</b><i> Mil</i> destacar, sortear, recrutar.<b> 4</b> puxar, arrastar. <b>a</b> <b>draft on, upon</b> um saque contra. <b>on draft</b> pronto para ser retirado diretamente do barril. <b>to draft a</b> <b>letter</b> rascunhar uma carta. <b>to draft a message</b> redigir uma mensagem. <b>to have a quick draft</b> ter pronta saída. <b>up draft </b><i>Tech</i> corrente ascendente.
drag	<i> n </i><b>1</b> carro de rojo, rastilho, arrasto, carro de transporte.<b> 2</b> rede varredoura.<b> 3</b> draga, fateixa de rocegar.<b> 4</b> croque, gancho, ancinho, grade de arar, desterroar.<b> 5</b> máquina ou dispositivo para adubar a terra.<b> 6</b> máquina, aparelho que serve para arrastar ou puxar algo.<b> 7</b> resistência ao avanço, sapata de roda de veículo, travão, qualquer coisa que retarda o progresso, (<b>upon</b>) obstáculo, empecilho.<b> 8</b> espécie de carruagem aberta, a quatro cavalos.<b> 9</b> dragagem, ação de dragar, arrastar.<b> 10</b> <i>Hunt </i>rasto de raposa, rasto artificial, montaria, caça grossa.<b> 11</b><i> Amer sl</i> influência, pressão. <b>12 </b><i>sl </i>coisa enfadonha. <b>13 </b><i>sl </i>inalação de fumaça. <b>14 </b><i>sl </i>roupa própria de pessoas de um sexo, usada por pessoas de outro. <b>15 </b><i>sl </i>festa de homossexuais. • <i>vt+vi</i><b> 1</b> arrastar(-se), levar a rastos, tirar, puxar à força, arrancar.<b> 2</b> dragar, rocegar, desentupir (um porto).<b> 3</b> gradar, desterroar.<b> 4</b> garrar, arrastar (a âncora).<b> 5</b> arrastar (falando de vestidos compridos).<b> 6</b> pescar com a rede varredoura.<b> 7</b> deter-se, tardar, prolongar-se, não adiantar, mover-se morosamente ou com dificuldade. <i>the child drags</i> / a criança é retardada no seu desenvolvimento. <b>8</b> passar. <b>to drag along, drag on 1</b> arrastar com força.<b> 2</b> puxar, arrastar.<b> 3</b> arrastar-se, demorar. <b>to drag away </b>mover-se ou partir sem vontade. <b>to drag by </b>passar vagarosamente. <b>to drag down 1 </b>sentir-se fraco ou deprimido. <b>2 </b>reduzir a um nível social mais baixo. <b>to drag in</b> introduzir um assunto sem interesse ou inoportuno. <b>to drag into </b>envolver (alguém ou algo) desnecessariamente. <b>to drag one’s feet </b>não se esforçar, retardar, fazer corpo mole. <b>to drag out</b> <b>1 </b>protrair, prolongar, fazer durar. <b>2 </b>forçar a dizer algo. <b>to drag up 1</b> educar ou criar com negligência. <b>2 </b>levantar um assunto desnecessariamente.
dragon	<i> n </i>dragão:<b> 1</b> monstro fabuloso que se representa com garras, asas e cauda de serpente.<b> 2</b><i> fig</i> pessoa de má índole e rancorosa.<b> 3</b> governante, preceptora muito vigilante e severa, aia.<b> 4</b><i> Astr</i> constelação boreal.<b> 5</b> <i>Bib</i> vários monstros como a serpente, o crocodilo, etc.<b> 6</b> <i>Zool</i> lagarto-volante: lagarto do gênero Draco. <b>7</b> <i>Bot</i> serpentária. <b>8 </b>país recém-industrializado na Ásia oriental. <b>9 </b>papagaio de papel, pandorga. <b>the Old Dragon</b> dragão infernal, o Satã.<b> to chase the dragon </b>fumar heroína, aquecendo-a e inalando a fumaça.
drama	<i> n </i><b>1</b> drama, obra dramática.<b> 2</b> série de episódios complicados ou patéticos.<b> 3</b> acontecimento terrível, catástrofe. <b>the drama</b> a arte de escrever, representar ou produzir peças de teatro.
dramatic	<i> adj</i><b> 1</b> dramático, de drama.<b> 2</b> comovente.
dramatist	<i> n </i>dramatista, dramaturgo, autor de dramas.
dramatizer	<i>n</i> = <b>dramatiser.</b>
draper	<i> n </i><b>1</b> vendedor de tecidos e roupas.<b> 2</b> decorador, pessoa que decora, drapeja, coloca cortinas. <b>linen draper</b> negociante de armarinho.
drat	<i>interj </i>= <b>damn.</b>
dratted	<b> </b><i>adj coll </i>= <b>damned.</b>
draw	<i> n </i><b>1</b> a ação de puxar ou tirar.<b> 2</b> a ação de tirar a sorte.<b> 3</b> a sorte que se tirou.<b> 4</b> atração, coisa que atrai, chamariz, coisa de arromba (por exemplo uma peça teatral, <b>“a good draw”</b>).<b> 5</b> empate (no jogo); ato de interromper um jogo sem terminá-lo.<b> 6</b> pressão, tensão.<b> 7</b> bacia, vale, por onde correm ou convergem as águas.<b> 8</b> parte móvel da ponte levadiça. <b>9</b> tentativa para saber alguma coisa. <b>10</b> sorte, destino. <b>11 </b>desenho, esboço. <b>12 </b>ato de puxar uma arma. <b>13 </b>gaveta. • <i>vt+vi</i> <i>ps</i> <b>drew</b>, <i>pp</i> <b>drawn. 1</b> tirar, puxar, arrastar, arrancar.<b> 2</b> sacar, retirar, desembainhar, extrair.<b> 3</b> estripar, desentranhar.<b> 4</b> puxar para cima, tirar para cima.<b> 5</b> chupar, mamar.<b> 6</b> atrair para si, atrair com afagos. <b>7</b> tirar qualquer líquido de um barril. <b>8</b> tirar a sorte.<b> 9</b> respirar, inalar. <b>10</b> arrancar (suspiros, gemidos). <b>11</b> estender, alongar, estirar, correr, cerrar (cortina). <b>12</b> receber, ganhar (dinheiro, prêmio), tirar (dinheiro do banco). <b>13</b> esvaziar. <b>14</b> <b>draw to</b> chegar(-se) perto ou em frente de; reunir-se. <b>15</b> evocar, causar, deduzir, inferir. <b>16</b> retratar, desenhar, debuxar. <b>17</b> traçar, delinear, esboçar. <b>18</b> minutar. <b>19</b> representar-se alguma coisa na idéia, descobrir. <b>20</b> formular, fazer uma escritura, contrato, etc. <b>21</b> sacar uma letra de câmbio, tirar uma ordem de pagamento. <b>22</b><i> Naut</i> ter calado de, navegar a um calado determinado. <b>23</b> empatar um jogo sem terminá-lo. <b>24</b> <i>Hunt </i>desencavar feras, bater a moita.<b> 25</b> fazer exigências, ser exigente. <b>26</b> franzir (as sobrancelhas). <b>27</b> enxotar. <b>28</b> pôr de infusão, deixar em infusão (chá, etc.). <b>29</b> esgotar. <b>30</b> encolher-se, contrair-se. <b>31</b> (<b>back; away from</b>) retirar-se de. <b>32</b> espremer, expulsar. <b>33</b> exercer influência sobre. <b>34</b> ser atraente. <b>35</b> eliciar, fazer sair (mediante alguma atração ou por instigação). <b>36</b> estar enfunado, içar (vela). <b>37 </b>acumular, produzir. <b>38 </b>drenar (um abscesso). <b>39 </b>perseguir a caça pelo rasto. <b>to beat to the draw </b><i>sl </i>fazer algo antes de qualquer outro. <b>to be quick on the</b> <b>draw </b>ser chafreiro, repentista. <b>to draw a bead</b> encarrilhar, encaminhar, ter em mira.<b> to draw a bill</b> sacar uma letra. <b>to draw a blank</b> sair a sorte em branco. <b>to draw after</b> acarretar. <b>to draw a gun</b> sacar um revólver. <b>to draw air</b> respirar, tomar folego. <b>to draw a line </b>passar um traço. <b>to</b> <b>draw along 1</b> consumir-se, definhar. <b>2 </b>arrastar. <b>to draw amiss</b> <i>Hunt</i> perder o rasto. <b>to draw and quarter 1 </b>executar atando cada membro a um cavalo diferente e conduzi-los para direções<b> </b>diferentes. <b>2 </b>estripar após enforcamento. <b>to draw a perpendicular</b> baixar uma perpendicular. <b>to draw a picture </b><i>sl </i>explicar em termos muito simples. <b>to draw a profit </b>ter lucros.<b> to</b> <b>draw aside</b> <b>1</b> tomar à parte. <b>2 </b>abrir, descerrar (cortina). <b>to draw asunder </b>separar tirando, dilacerar.<b> to draw away</b> afastar(-se), apartar, tirar, sacar, seguir em frente. <b>to draw back</b> retirar(-se), puxar para trás, retrair. <b>to draw back one’s</b> <b>hand</b> abandonar alguém. <b>to draw blood of one</b> chupar o sangue de alguém. <b>to draw breath</b> respirar, tomar fôlego. <b>to</b> <b>draw</b> <b>comparisons</b> fazer comparações. <b>to draw down a curse on</b> <b>one’s family</b> lançar uma maldição sobre a família de. <b>to draw forth 1 </b>arrancar, fazer sair. <b>2 </b>suscitar, provocar. <b>to</b> <b>draw from</b> desenhar conforme. <b>to draw in 1</b> contrair, encolher, recolher.<b> 2</b> seduzir, engodar.<b> 3</b> findar, diminuir (falando de dias). <b>to draw in one’s horns</b> tornar-se mais modesto.<b> to draw it fine </b>ser bastante preciso. <b>to</b> <b>draw it mild</b> <i>coll</i> manifestar, descrever ou perguntar sem exagerar, não exorbitar. <b>to draw near</b> (ou <b>nigh</b>) aproximar-se. <b>to draw off 1</b> apartar, retirar (-se), retrair.<b> 2</b> transvasar, esvaziar (vinho, etc.)<b> 3</b> urinar. <b>to draw on 1</b> atrair, seduzir, instigar, ocasio­nar.<b> 2</b> aproximar(-se), ir-se chegando (falando do tempo).<b> 3</b> sacar sobre alguém, valer-se de, contar<i> </i>com<i>.</i> <b>to draw on one’s coat</b> vestir seu casaco. <b>to draw on one’s imagination </b>fazer afirmações mentirosas. <b>to draw one dry</b> esgotar alguém, tirar-lhe todo o seu dinheiro. <b>to</b> <b>draw on one’s memory</b> tentar lembrar. <b>to draw out 1</b> prolongar, retardar, alongar.<b> 2</b> eliciar, fazer sair por instigação.<b> 3</b> extrair, formular.<b> 4</b> puxar fora, tirar.<b> 5</b><i> Mil</i> pôr em ordem de batalha. <b>to</b> <b>draw</b> <b>over</b> induzir, persuadir alguém para que mude de partido. <b>to draw rein</b> diminuir a velocidade, parar. <b>to draw someone forth</b> induzir alguém a expandir-se. <b>to draw someone out</b><i> fig</i> puxar alguém pela língua. <b>to draw someone</b> <b>into, to</b> persuadir alguém a. <b>to draw the attention of</b> chamar a atenção de. <b>to draw the attention to</b> chamar a atenção a. <b>to draw the curtain</b> correr, puxar a cortina. <b>to draw the</b> <b>line at</b> recusar, limitar, traçar os limites. <b>to draw the teeth of </b>tornar inofensivo, cortar as garras. <b>to draw to a head </b>amadurecer. <b>to draw to an</b> <b>end</b> tender para o fim, estar acabando. <b>to draw together</b> contrair. <b>to draw to scale</b> <i>Tech</i> desenhar em escala. <b>to</b> <b>draw towards</b> tender para, inclinar-se. <b>to draw up 1</b> tirar, puxar para cima, içar.<b> 2</b> esboçar, redigir, fazer, escrever (um documento, uma petição, etc.).<b> 3</b> compor, formar. <b>4</b><i> Mil</i> alinhar, pôr em ordem de batalha, formar-se.<b> 5</b> chegar(-se) em frente de.<b> 6</b> erguer-se, empertigar-se. <b>7 </b>parar, interromper. <b>to draw up to the curb</b> encostar o carro no meio-fio. <b>to draw upon</b> (<b>on</b>) sacar sobre alguém. <b>to draw</b> <b>up with</b> alcançar.
drawing	<i> n </i><b>1</b> desenho, croqui, delineação, esboço, debuxo, a arte, o ato de desenhar.<b> 2</b> sorteio, extração de loteria.<b> 3</b> saque.<b> 4</b> retiradas. <b>composite drawing</b> retrato falado. <b>in drawing</b> corretamente desenhado. <b>out of drawing</b> mal desenhado.
dreadful	<i>adj</i><b> 1</b> terrível, formidável, horrível, espantoso, temível.<b> 2</b> que impõe respeito.<b> 3</b> <i>coll</i> desagradável, ruim.<b> 4</b> extremo, excessivo.
dream	<i> n </i><b>1</b> sonho.<b> 2</b> quimera, utopia, fantasia, visão, devaneio. <b>3 </b>algo notável por sua beleza ou excelência. <b>4 </b>meta, ideal. • <i>vt+vi</i> (<i>ps, pp</i> <b>dreamt</b> ou <b>dreamed</b>).<b> 1</b> sonhar.<b> 2</b> entregar-se a fantasias e devaneios, imaginar, fantasiar.<b> </b><i>I never dreamt of such a thing</i> / nunca teria imaginado semelhante coisa. <b>a bad dream </b>um pesadelo.<b> a dream come true </b>um sonho que se tornou realidade. <b>day</b> <b>dream</b> devaneio. <b>pipe dream </b>sonho vão, quimera. <b>the dream shattered </b><i>fig </i>o castelo desabou. <b>to dream of</b> sonhar com. <b>2 </b>pensar em, julgar possível. <b>to dream away </b>passar o tempo em devaneios. <b>to go like a dream</b> trabalhar, progredir muito bem.
dreamboat	<i> n sl</i> pessoa ou coisa muito atraente e agradável.
drear	<i> adj</i> <i>Poet</i> <i>abbr </i>of <b>dreary.</b>
dress	<i> n </i><b>1</b> vestido, vestuário, roupa, fato, traje.<b> 2</b> adorno, enfeites, atavio.<b> 3 </b>forma exterior, aparência, roupagem. • <i>vt+vi</i><b> 1</b> vestir-se.<b> 2</b> adornar, ataviar, enfeitar, ornar(-se), compor com alinho ou asseio.<b> 3</b> arranjar, ajustar, pôr em ordem.<b> 4</b> alinhar, formar-se em linha reta.<b> 5</b><i> Naut</i> pavesar.<b> 6</b> limpar uma ferida, fazer curativo.<b> 7</b> cozinhar, guisar, preparar a comida, temperar alimentos. <b>8</b> toucar, pentear, escovar o cabelo. <b>9</b> cultivar, adubar a terra. <b>10</b> desempenar. <b>11</b> curtir, surrar peles. <b>12</b> podar (a vide). <b>13</b> cortar, desramar, tosquiar. <b>14</b> aparelhar, desbastar e polir (pedra e madeira). <b>15</b> tratar ou preparar os minérios. <b>16</b> sedar (o linho). • adj<i> </i><b>1 </b>usado para vestir. <b>2 </b>adequado para uma ocasião formal (roupas). <b>3 </b>que requer ou permite traje formal. <b>dressed to kill</b> vestido de forma atraente. <b>evening dress</b> casaca, gala, vestido a rigor. <b>full</b> <b>dress </b>traje de cerimônia, grande uniforme. <b>morning dress </b>vestido caseiro. <b>to dress down</b> <b>1 </b>repreender, admoestar, castigar. <b>2 </b>vestir-se de forma humilde. <b>to dress up 1 </b>arrumar-se, vestir-se com elegância. <b>2 </b>disfarçar, vestir-se com traje de mascarado, dar falsa aparência a. <b>to get dressed</b> vestir-se.
driftnet	<i> n </i>grande rede de pescar.
drink	<i> n </i><b>1</b> bebida, bebida alcoólica.<b> 2</b> gole, trago.<b> 3</b> bebedeira, hábito de beber.<b> 4</b> <i>sl</i> o mar. <b>5 </b><i>sl<b> </b></i>suborno.<b> </b>• <i>vt+vi</i> (<b>drank, drunk</b>).<b> 1</b> beber, absorver, sorver, embeber.<b> </b><i>he has taken to drink</i> / ele deu para beber. <b>2</b> embebedar-se, embriagar-se.<b> 3</b> absorver pelos sentidos, aspirar, ver, ouvir.<b> 4</b> (<b>with</b> <b>to</b>) brindar a, beber à saúde de ou pelo bom êxito de.<b> a mild drink </b>bebida suave.<b> an intoxicating drink </b>bebida<b> </b>embriagante.<b> a stiff drink </b>bebida forte.<b> have a drink </b>tome alguma coisa.<b> he drank his sorrows away </b>ele afogou suas mágoas em álcool.<b> soft drink </b>refrigerante.<b> strong drinks </b>bebidas fortes.<b> to be in drink </b>estar bêbado.<b> to drink away 1 </b>beber continuamente.<b> 2 </b>livrar-se de, perder (alguma coisa)<b> </b>bebendo.<b> to drink down </b>beber de um gole.<b> to drink from, out of (a glass, etc.) </b>beber num copo, etc.<b> to drink hard, deep </b>beber muito ou em excesso.<b> to drink in </b>absorver pelos<b> </b>sentidos.<b> to drink off </b>beber de um só gole,<b> to drink oneself drunk </b>beber até<b> </b>embriagar-se.<b> to drink the health </b>ou<b> to drink to </b>brindar a, beber à saúde de.<b> to drink up </b>beber tudo, esvaziar.<b> to stand someone a drink</b>/<b>to treat someone to a drink </b>oferecer uma bebida a alguém, pagar uma bebida a alguém.
drippy	<i> adj</i> <b>1 </b>pingoso, chuvoso. <b>2</b> <i>coll</i> tolo, fútil, inane.
drive	<i> n </i><b>1</b> passeio de carro, auto, etc.<b> 2</b> percurso, distância a percorrer de carro, auto, etc.<b> 3</b> estrada para carros.<b> 4</b> entrada para carros em moradias.<b> 5</b> ato de conduzir, dirigir, guiar.<b> 6</b> condução de gado em manadas. <b>7</b> pressão, esforço, atividade, energia, impulso, empenho, dinamismo. <b>8 </b>ímpeto, impulso, pulsão, necessidade instintiva. <b>9 </b><i>Golf </i>tacada ou movimento da bola.<b> 10</b> <i>Mil</i> ataque, assalto, avanço. <b>11</b> força motriz, movimento, rodagem, mecanismo de engrenagem, acionamento, transmissão, propulsão. <b>12 </b><i>Comp </i>unidade de disco. <b>13 </b>galeria de mina. <b>14</b> competições de jogos de cartas. •<i> vt+vi</i> (<b>drove, driven</b>)<b> 1</b> impelir, empuxar, empurrar alguma coisa com força, empurrar para diante, impulsar, fazer caminhar para diante, forçar.<b> 2</b> conduzir, guiar, dirigir (cavalos, carro, navio, etc.), levar.<b> 3</b> ir de carro, auto, etc., passear de carro, etc., prosseguir.<b> 4</b> constranger, compelir, forçar, coagir.<b> 5</b> lançar, propulsar, acionar, pôr em movimento.<b> 6</b> perfurar, arrastar por atrito, encunhar, cravar. <b>7</b> escovar (um túnel). <b>8</b><i> Naut</i> desgarrar. <b>9</b> instar, seduzir, incitar, induzir, conduzir, levar a. <b>10 </b>realizar, efetuar, levar a efeito. <b>11 </b>mover-se com grande força (chuva, vento). <b>12 </b>rebater (bola) no golfe. <b>disk drive </b><i>Comp </i>unidade de disco. <b>to drive a good</b> (<b>bad</b>) <b>bargain</b> fazer um bom (mau) negócio. <b>to drive a hard</b> <b>bargain</b> ser firme nas negociações. <b>to drive a</b> <b>nail in</b> cravar um prego. <b>to drive a</b> <b>nail into someone’s coffin</b> contribuir para a ruína ou fracasso de alguém. <b>to drive ashore</b> arrojar à costa. <b>to drive asunder</b> apartar, separar à força. <b>to drive at 1</b> tender a, aludir, insinuar.<b> 2</b> trabalhar em. <b>to drive at full speed</b> guiar a toda velocidade. <b>to drive a thing into a person</b> inculcar alguma coisa em alguém. <b>to drive away</b> expelir, expulsar, fazer sair, afugentar, afastar-se, partir em carro. <b>to drive back</b> rechaçar, repulsar, reconduzir em carro, etc., voltar de carro, etc. <b>to drive by friction</b> arrastar por atrito. <b>to drive home 1 </b>ir para casa de carro. <b>2 </b>cravar um prego com um martelo. <b>3 </b>fazer com que seja claramente compreendido. <b>to drive in, into</b> inserir à força, fincar, fazer entrar a marteladas. <b>to drive it home to </b>mostrar, forçar a acreditar.<b> to drive into a corner </b>colocar em situação difícil, encurralar.<b> to drive off 1</b> partir, ir-se embora em carro, etc.<b> 2</b> expelir, rechaçar. <b>3 </b><i>Golf </i>dar a primeira tocada. <b>to drive on </b>seguir adiante, levar em frente, empurrar, incentivar. <b>to drive out 1</b> expelir, expulsar, fazer sair.<b> 2</b> sair ou passear em carro, etc.<b> to</b> <b>drive pigs to market</b> roncar, ressonar. <b>to drive someone mad</b>/<b>crazy 1 </b>enlouquecer, levar à loucura. <b>2 </b><i>fig </i>exasperar, irritar, deixar louco. <b>to drive someone out of his senses</b>/<b>out of his mind </b>deixar maluco. <b>to drive someone round the bend </b>exasperar, enlouquecer. <b>to drive to leeward</b> desgarrar, desviar de rumo. <b>to drive up the prices</b> fazer subir os preços, elevar os preços. <b>to drive up to</b> passar de carro por algum lugar.
driver	<i> n </i><b>1</b> quem ou aquele que leva, conduz, chofer, motorista, condutor, motorneiro, piloto, cocheiro, carroceiro, maquinista de locomotiva.<b> 2</b> roda motriz.<b> 3</b> um dos tacos com que se joga golfe.<b> 4</b><i> Naut</i> draiva, mezena. <b>5 </b>talhadeira. <b>6 </b><i>Comp </i>controlador. <b>7 </b>penúltimo estágio, estágio amplificador. <b>cattle driver</b> vaqueiro. <b>screw-driver</b> chave de fenda.
driveway	<i> n </i><b>1</b> estrada para carros, pista de rolamento.<b> 2</b> entrada para carros em moradias.
driving	<i> adj</i> <b>1 </b>motriz. <b>2 </b>forte, potente. <b>3 </b>relativo ao ato de dirigir (veículos).
drop	<i> n </i><b>1</b> gota, pingo.<b> 2</b> qualquer coisa que tem forma de gota.<b> 3</b> pendente, brinco, penduricalho, pingente, berloque.<b> 4</b> pano de teatro.<b> 5</b> queda, declive, descida, declínio. <b>6 </b>dose, gole, trago. <b>7</b> partezinha, porção ínfima, bocado, pequena quantidade de líquido ou de qualquer outra coisa. <b>8 </b>altura entre dois níveis, desnível. <b>9 </b>descida de pára-quedas. <b>10 </b><i>Amer </i>ponto central de distribuição. <b>11 </b>fenda por onde se colocam cartas, etc. <b>12</b> <i>n pl</i> gotas medicinais. <b>13</b> <i>n pl</i> várias espécies de balas confeitadas ou pastilhas. • <i>vt+vi</i> (<i>ps, pp</i> <b>dropped</b>)<b> 1</b> pingar, gotejar, cair ou deixar cair gota a gota, destilar.<b> 2</b> deixar cair alguma coisa, cair, pôr, colocar, deixar cair repentinamente.<b> 3</b> desprender-se, soltar.<b> 4</b> diminuir, baixar.<b> 5</b> descer, deixar descer dum carro, etc.<b> 6</b> renunciar a, desistir de, deixar, descontinuar, pôr fim a, largar, suspender, cessar, acalmar (o vento).<b> 7</b> deixar escapar uma palavra, insinuar de passagem. <b>8</b> cair, chegar inesperadamente, entrar ou visitar casualmente.<b> 9</b> escrever umas linhas. <b>10</b> <i>coll</i> perder. <b>11</b> perder terreno, recuar. <b>12 </b>derrubar com um soco ou um tiro. <b>13 </b>deixar de fora, suprimir. <b>14 </b><i>sl<b> </b></i>consumir drogas por via oral.<b> 15</b> dar cria. <b>a drop in</b> <b>prices</b> uma queda dos preços.<b> a drop in the bucket</b> uma gota de água no oceano. <b>at the drop of a hat </b>ao primeiro sinal, imediatamente. <b>by drops</b> gota a gota. <b>drop dead! </b>vá para o inferno! <b>drop it! </b>pare com isso! <b>let’s drop it</b> vamos esquecer esse assunto.<b> to drop across </b>encontrar por acaso. <b>to drop a</b> <b>hint</b> insinuar casualmente. <b>to drop a line</b> escrever umas linhas. <b>to drop an acquaintance</b> descontinuar o contato com alguém, cortar relações. <b>to drop asleep</b> cair no sono, adormecer. <b>to drop</b> <b>astern</b> <i>Naut</i> ir para trás, ficar para trás a fim de dar passagem a outro navio. <b>to drop a subject </b>mudar de assunto. <b>to drop away </b>afastar-se, diminuir gradualmente. <b>to drop a word</b> deixar escapar uma palavra. <b>to drop behind</b> <b>1 </b>ficar atrás. <b>2 </b>atrasar (pagamento). <b>to drop bombs</b> lançar bombas. <b>to drop dead </b>cair morto. <b>to drop down</b><i> Naut</i> navegar rio abaixo. <b>to drop everything</b> abandonar tudo. <b>to drop in</b>/<b>over </b>aparecer sem avisar, fazer uma visita informal. <b>to drop into gear</b> engrenar. <b>to drop off 1</b> diminuir, cair. <b>2 </b><i>coll </i>partir, desaparecer. <b>3</b> adormecer. <b>to</b> <b>drop</b> <b>out</b> desligar-se, cair fora, deixar de freqüentar. <b>to</b> <b>drop short</b> não conseguir o seu intento. <b>to drop the curtain</b> descer o pano de boca. <b>to get</b>/<b>have the drop on 1 </b>ter sob a mira do revólver. <b>2 </b>levar a melhor, ficar em melhor posição. <b>to have a drop too much</b> ficar embriagado, beber demais.
drought	<i> n </i>seca, secura, aridez, falta de chuva, estiagem.
drown	<i>vt+vi</i> (<i>ps, pp</i> <b>drowned</b>)<b> 1</b> afogar(-se).<b> 2</b> inundar, alagar, transbordar, submergir.<b> 3</b> abafar a voz, o som.<b> 4</b> suprimir, esmagar, debelar, extinguir. <b>5 </b>embebedar, ensopar. <b>6 </b><i>fig </i>mergulhar, interes­sar-se profundamente. <b>to drown out</b> <b>1 </b>afugentar pela inundação. <b>2 </b>abafar o som. <b>drowned in debts</b> carregado de dívidas. <b>drowned in pleasures</b> engolfado em prazeres. <b>drowned</b> <b>in tears</b> banhado em lágrimas. <b>to be drowned</b> afogar-se.
drug	<i> n </i><b>1</b> droga, qualquer substância ou ingrediente que entra na composição de algum medicamento.<b> 2</b> tóxico. <b>3</b> entorpecente, narcótico.<b> 4</b> substância medicinal que vicia.<b> 5</b> droga, mercadoria invendável, que não tem saída. • <i>vt+vi</i><b> 1</b> ministrar drogas, especialmente drogas narcóticas ou entorpecentes, misturar drogas.<b> 2</b> entorpecer, narcotizar, tornar insensível mediante narcóticos.<b> 3</b> ingerir drogas.<b> 4</b> amortecer, embotar, insensibilizar, embe­bedar-se, envenenar. <b>drug on</b> <b>(in)</b> <b>the</b> <b>market</b> <i>Brit </i>encalhe, artigo de pouca saída.
druggie	<i> n Amer coll</i> usuário de drogas, viciado em drogas.
drugstore	<i> n </i>drogaria, farmácia, <i>Amer </i>drogaria que ao mesmo tempo vende também cosméticos, revistas, balas, sorvetes, etc.
drum	<i> n </i><b>1</b> tambor: instrumento musical de percussão.<b> 2</b><i> Anat</i> tímpano do ouvido, membrana do tímpano, tambor.<b> 3</b> nome de vários objetos de forma cilíndrica, barril, tambor para óleo, gasolina, etc.<b> 4</b> cilindro giratório, polia.<b> 5</b> cilindro das fechaduras.<b> 6</b><i> Archit</i> tambor.<b> 7</b> toque de tambor, tamborilada, rufo.<b> 8</b> som parecido ao do tambor.<b> 9</b> <i>Geol</i> o mesmo que <b>drumlin</b>. • <i>vt+vi</i><b> 1</b> rufar, tocar tambor.<b> 2</b> tamborilar, tocar com os dedos ou outro objeto imitando o rufar do tambor.<b> 3</b> produzir sons parecidos aos do tambor, como fazem certos insetos, retumbar. <b>bongo drums </b><i>Mus</i> bongô.<b> to beat the drum </b>falar demais, fazer o possível para chamar a atenção.<b> to drum into</b> inculcar, fazer entrar na cabeça.<b> to</b> <b>drum out</b> expulsar. <b>to drum up</b> <i>fig<b> </b></i><b>1 </b>martelar, insistir, tamborilar. <b>2 </b>fazer propaganda. <b>3 </b>angariar, andar à cata de fregueses. <b>4 </b><i>Mil</i> reunir recrutas a toque de tambor. <b>with drums beating</b> ao som da música.<b> </b>
drumbeat	<i> n </i><b>1 </b>rufo, toque de tambor. <b>2 </b>defesa ruidosa de uma causa.
drunkard	<i> n </i>bêbedo, beberrão, ébrio.
